phase,scenario,example,error_type,note
Lexer,Ky tu khong hop le,"begin { int x @ 5; } end",LexicalError,"Lexer gap ky tu khong co trong bang token hop le."
Lexer,String literal chua dong,"begin { string s = ""hello; } end",LexicalError,"Chuoi bat dau bang dau nhay kep nhung khong co dau nhay kep ket thuc."
Lexer,Block comment chua dong,"begin { /* comment } end",LexicalError,"Comment dang /* ... */ khong co phan dong */."
Lexer,Identifier sai nguyen tac chu va so,"begin { int ab1c; } end",LexicalError,"Theo lexer hien tai, chu so chi duoc nam o cuoi identifier; sau so khong duoc quay lai chu cai."
Lexer,Identifier chua ky tu la,"begin { int x$; } end",LexicalError,"Ky tu $ khong hop le trong identifier."
Lexer,Identifier chua ky tu dac biet,"begin { int user_name; } end",LexicalError,"Lexer hien tai khong ho tro dau gach duoi trong identifier."
Parser,Dung keyword lam ten bien,"begin { int if; } end",ParseError,"Lexer doc if la token IF, parser mong doi IDENTIFIER sau kieu du lieu."
Parser,Thieu begin,"{ int x; } end",ParseError,"Program phai bat dau bang keyword begin."
Parser,Thieu end,"begin { int x; }",ParseError,"Program phai ket thuc bang keyword end."
Parser,Thieu dau mo block sau begin,"begin int x; end",ParseError,"Sau begin parser mong doi dau {."
Parser,Thieu dau dong block truoc end,"begin { int x; end",ParseError,"Block phai ket thuc bang dau }."
Parser,Thieu dau cham phay sau khai bao,"begin { int x } end",ParseError,"Declaration phai ket thuc bang dau ;."
Parser,Thieu dau cham phay sau statement,"begin { int x; print(x) } end",ParseError,"Statement print/input/assign/do-while phai ket thuc dung cu phap, thuong can dau ;."
Parser,Khai bao thieu ten bien,"begin { int = 5; } end",ParseError,"Sau kieu du lieu parser mong doi IDENTIFIER."
Parser,Khai bao thieu bieu thuc sau dau gan,"begin { int x = ; } end",ParseError,"Sau dau = parser mong doi mot expression hop le."
Parser,Gan thieu dau bang,"begin { int x; x 10; } end",ParseError,"Assignment phai co dang identifier = expr ;."
Parser,Gan thieu bieu thuc,"begin { int x; x = ; } end",ParseError,"Sau dau = parser mong doi mot expression hop le."
Parser,Print thieu dau mo ngoac,"begin { int x; print x); } end",ParseError,"Cu phap print phai la print(expr);."
Parser,Print thieu dau dong ngoac,"begin { int x; print(x; } end",ParseError,"Parser mong doi ) sau expression trong print."
Parser,Input thieu dau mo ngoac,"begin { int x; input x); } end",ParseError,"Cu phap input phai la input(identifier);."
Parser,Input thieu ten bien,"begin { input(); } end",ParseError,"Sau input( parser mong doi IDENTIFIER."
Parser,Input thieu dau dong ngoac,"begin { int x; input(x; } end",ParseError,"Parser mong doi ) sau ten bien trong input."
Parser,If thieu dau mo ngoac dieu kien,"begin { if true) then { print(1); } } end",ParseError,"Cu phap if phai bat dau bang if (expr)."
Parser,If thieu dau dong ngoac dieu kien,"begin { if (true then { print(1); } } end",ParseError,"Parser mong doi ) sau dieu kien if."
Parser,If thieu keyword then,"begin { if (true) { print(1); } } end",ParseError,"Sau dieu kien if parser mong doi keyword then."
Parser,Elseif thieu dau mo ngoac dieu kien,"begin { if (false) then { print(0); } elseif true) { print(1); } } end",ParseError,"Cu phap elseif phai la elseif (expr) statement."
Parser,Elseif thieu dau dong ngoac dieu kien,"begin { if (false) then { print(0); } elseif (true { print(1); } } end",ParseError,"Parser mong doi ) sau dieu kien elseif."
Parser,For thieu dau mo ngoac,"begin { int i; for i = 0 to 3 step 1) { print(i); } } end",ParseError,"Cu phap for phai la for (i = start to end step step)."
Parser,For thieu bien vong lap,"begin { for (= 0 to 3 step 1) { print(1); } } end",ParseError,"Sau for( parser mong doi IDENTIFIER."
Parser,For thieu dau gan,"begin { int i; for (i 0 to 3 step 1) { print(i); } } end",ParseError,"Sau bien vong lap parser mong doi dau =."
Parser,For thieu keyword to,"begin { int i; for (i = 0 3 step 1) { print(i); } } end",ParseError,"Sau start expression parser mong doi keyword to."
Parser,For thieu keyword step,"begin { int i; for (i = 0 to 3 1) { print(i); } } end",ParseError,"Sau end expression parser mong doi keyword step."
Parser,For thieu dau dong ngoac,"begin { int i; for (i = 0 to 3 step 1 { print(i); } } end",ParseError,"Parser mong doi ) sau step expression."
Parser,Do-while thieu keyword while,"begin { do { print(1); }; } end",ParseError,"Sau body cua do parser mong doi keyword while."
Parser,Do-while thieu dau mo ngoac dieu kien,"begin { do { print(1); } while true); } end",ParseError,"Cu phap while trong do-while phai la while (expr);."
Parser,Do-while thieu dau cham phay cuoi,"begin { do { print(1); } while (true) } end",ParseError,"Do-while statement phai ket thuc bang dau ;."
Parser,Statement bat dau bang token khong hop le,"begin { 123; } end",ParseError,"Statement khong duoc bat dau bang INT_LITERAL."
Parser,Bieu thuc bat dau sai,"begin { int x = * 5; } end",ParseError,"Expression khong the bat dau bang toan tu *."
Parser,Thieu toan hang ben phai,"begin { int x = 1 + ; } end",ParseError,"Sau toan tu + parser mong doi mot expression/primary hop le."
Parser,Khai bao bien dat sau statement,"begin { print(1); int x; } end",ParseError,"Parser cua project chi cho declaration list dung truoc statement list trong block."
Semantic,Khai bao trung bien trong cung scope,"begin { int x; int x; } end",SemanticError,"Bien da ton tai trong scope hien tai."
Semantic,Dung bien chua khai bao trong assignment,"begin { x = 10; } end",SemanticError,"Lookup khong tim thay bien x trong cac scope hien co."
Semantic,Dung bien chua khai bao trong print,"begin { print(x); } end",SemanticError,"Expression Var(x) khong tim thay khai bao."
Semantic,Dung bien chua khai bao trong input,"begin { input(x); } end",SemanticError,"Input yeu cau bien da duoc khai bao."
Semantic,Dung bien chua khai bao trong expression,"begin { int y = x + 1; } end",SemanticError,"Bien x duoc dung trong bieu thuc nhung chua khai bao."
Semantic,Gan sai kieu int nhan bool,"begin { int x; x = true; } end",SemanticError,"Khong the assign bool vao bien int."
Semantic,Gan sai kieu bool nhan int,"begin { bool flag; flag = 1; } end",SemanticError,"Khong the assign int vao bien bool."
Semantic,Gan sai kieu string nhan int,"begin { string s; s = 1; } end",SemanticError,"Khong the assign int vao bien string."
Semantic,Khai bao co initializer sai kieu,"begin { int x = true; } end",SemanticError,"Initializer phai gan duoc vao kieu khai bao."
Semantic,Auto khong co initializer,"begin { auto x; } end",SemanticError,"Bien auto phai co gia tri khoi tao de suy luan kieu."
Semantic,Dieu kien if khong phai bool,"begin { int x = 1; if (x) then { print(x); } } end",SemanticError,"Condition cua if phai co kieu bool."
Semantic,Dieu kien elseif khong phai bool,"begin { int x = 1; if (false) then { print(0); } elseif (x) { print(1); } } end",SemanticError,"Condition cua elseif phai co kieu bool."
Semantic,Dieu kien while khong phai bool,"begin { int x = 1; do { print(x); } while (x); } end",SemanticError,"Condition cua do-while phai co kieu bool."
Semantic,Bien vong for khong phai int,"begin { float i; for (i = 0 to 3 step 1) { print(i); } } end",SemanticError,"Bien dieu khien for phai co kieu int."
Semantic,Start cua for khong phai int,"begin { int i; for (i = 0.5 to 3 step 1) { print(i); } } end",SemanticError,"Start/end/step cua for phai la int."
Semantic,End cua for khong phai int,"begin { int i; for (i = 0 to 3.5 step 1) { print(i); } } end",SemanticError,"Start/end/step cua for phai la int."
Semantic,Step cua for khong phai int,"begin { int i; for (i = 0 to 3 step 1.5) { print(i); } } end",SemanticError,"Start/end/step cua for phai la int."
Semantic,Step cua for bang 0,"begin { int i; for (i = 0 to 3 step 0) { print(i); } } end",SemanticError,"Semantic analyzer chan step = 0 de tranh vong lap vo han."
Semantic,Toan tu so hoc dung voi bool,"begin { print(true + 1); } end",SemanticError,"Cac toan tu + - * / yeu cau operand numeric."
Semantic,Toan tu so hoc dung voi string,"begin { print(""a"" + 1); } end",SemanticError,"Cac toan tu + - * / yeu cau operand numeric."
Semantic,Toan tu so sanh dung voi string,"begin { print(""a"" > ""b""); } end",SemanticError,"Cac toan tu > >= < <= yeu cau operand numeric."
Semantic,So sanh bang giua kieu khong tuong thich,"begin { print(""a"" == true); } end",SemanticError,"Toan tu == chi chap nhan hai kieu giong nhau hoac hai kieu numeric."
Semantic,Toan tu logic AND dung voi non-bool,"begin { print(1 && true); } end",SemanticError,"Toan tu && yeu cau ca hai operand la bool."
Semantic,Toan tu logic OR dung voi non-bool,"begin { print(false || 1); } end",SemanticError,"Toan tu || yeu cau ca hai operand la bool."
Semantic,Toan tu NOT dung voi non-bool,"begin { print(!1); } end",SemanticError,"Toan tu ! chi chap nhan operand bool."
Semantic,Unary minus dung voi string,"begin { print(-""abc""); } end",SemanticError,"Unary - chi chap nhan int hoac float."
Semantic,Unary minus dung voi bool,"begin { print(-true); } end",SemanticError,"Unary - chi chap nhan int hoac float."
